int_chllS_1000,int_chllS_300,oc,kd,Var5,Var6,Var7,Var8,Var9
-6.28439052211124e-05,-1.30595349640877e-07,0.617274343967438,0.0815999979386106,-74.64983,-74.64983,2018,10,2
0.000107057471670826,-9.95507936177568e-08,0.361312568187714,0.0565999985701637,-74.64633,-74.64633,2018,10,3
-0.000143240252611273,-8.30407329719745e-08,0.331792265176773,0.0533999986510025,-74.65012,-74.65012,2018,10,3
0.000387639501886266,-1.19083310203839e-07,0.554318368434906,0.0747999981103931,-74.64576,-74.64576,2018,10,3
-5.32399059447678e-05,-1.41798505026054e-07,0.38609966635704,0.0591999985044822,-74.64095,-74.64095,2018,10,3
-2.082198511827e-05,-1.0924388663721e-07,0.335022062063217,0.055999998585321,-74.63918,-74.63918,2018,10,3
0.000124249757675467,-1.08686912260785e-07,0.25844219326973,0.0487999987672083,-74.64699,-74.64699,2018,10,3
3.1158169261906e-05,-1.39863003047881e-07,0.176514625549316,0.0417999989440432,-74.64886,-74.64886,2018,10,3
3.94691492205694e-05,-1.35963888585796e-07,0.169602558016777,0.0407999989693053,-74.64167,-74.64167,2018,10,3
1.16897498685725e-05,-1.06680655681972e-07,0.288911819458008,0.0567999985651113,-74.63524,-74.63524,2018,10,4
3.94836644335155e-05,-1.15048729294777e-07,0.288911819458008,0.0567999985651113,-74.63583,-74.63583,2018,10,4
5.39432892886639e-05,-1.08711919546353e-07,0.266388058662415,0.0553999986004783,-74.64362,-74.64362,2018,10,4
-8.13796469127544e-05,-1.07626991882726e-07,0.27807092666626,0.055999998585321,-74.64915,-74.64915,2018,10,4
6.59566677667291e-05,-1.35154229894382e-07,0.22762842476368,0.0501999987318413,-74.64323,-74.64323,2018,10,4
-8.24838181639437e-05,-9.27535003423486e-08,0.227400705218315,0.0491999987571035,-74.6446,-74.6446,2018,10,4
1.82698513600081e-05,-1.23250983919753e-07,0.238397672772408,0.0519999986863695,-74.63593,-74.63593,2018,10,4
7.2416727629828e-05,-7.91614699288738e-08,0.378908455371857,0.378908455371857,-74.63875,-74.63875,2018,10,5
6.41384551852975e-05,-8.24910053748076e-08,0.264016836881638,0.264016836881638,-74.63596,-74.63596,2018,10,5
3.39188131663701e-06,-1.06947653281107e-07,0.207983165979385,0.207983165979385,-74.63774,-74.63774,2018,10,5
0.000150771445216032,-6.09123452426467e-08,0.285100013017654,0.285100013017654,-74.64602,-74.64602,2018,10,5
-9.38162101894345e-06,-9.41455854925024e-08,0.205223977565765,0.055999998585321,-74.64921,-74.64921,2018,10,6
-0.000253207742231007,-1.01843798931386e-07,0.153943717479706,0.0467999988177326,-74.64746,-74.64746,2018,10,6
0.000163617760486848,-1.14132208052046e-07,0.208659991621971,0.0459999988379423,-74.58376,-74.58376,2018,10,8
0.000190489887596115,-9.63522441155586e-08,0.221640720963478,0.0463999988278374,-74.57159,-74.57159,2018,10,8
-8.26095476641898e-05,-1.1446087236599e-07,0.223620504140854,0.047999998787418,-74.56477,-74.56477,2018,10,8
-3.9953021958724e-05,-7.87313275201368e-08,0.205817714333534,0.046599998822785,-74.56223,-74.56223,2018,10,8
-5.02290156280381e-05,-7.90608315026841e-08,0.190513953566551,0.0471999988076277,-74.5567,-74.5567,2018,10,8
-4.25931007500869e-05,-8.05055843818325e-08,0.197139620780945,0.046599998822785,-74.56051,-74.56051,2018,10,8
-7.17769437391109e-05,-9.31467279068006e-08,0.206976220011711,0.0477999987924704,-74.5591,-74.5591,2018,10,8
-8.14857184381484e-05,-7.92620539994471e-08,0.20737986266613,0.047999998787418,-74.56062,-74.56062,2018,10,8
-3.05552474897111e-05,-6.7470348886501e-08,0.198528215289116,0.0463999988278374,-74.56041,-74.56041,2018,10,8
-2.54442022699138e-07,-1.16271464449646e-07,0.203107476234436,0.0495999987469986,-74.58765,-74.58765,2018,10,10
-0.000107529322446387,-1.23429500658502e-07,0.212093114852905,0.0521999986813171,-74.59406,-74.59406,2018,10,10
-4.23934230276033e-05,-1.16368428954983e-07,0.21165457367897,0.0521999986813171,-74.59878,-74.59878,2018,10,10
-7.60648013067781e-05,-8.18427036354749e-08,0.246014937758446,0.0541999986307928,-74.60545,-74.60545,2018,10,10
1.82054338853203e-05,-8.47921124455919e-08,0.273480117321014,0.0577999985398492,-74.61613,-74.61613,2018,10,10
1.06238249973131e-05,-7.63551392955905e-08,0.219464480876923,0.0523999986762647,-74.62096,-74.62096,2018,10,10
5.19703803697849e-06,-8.04736243703052e-08,0.174885720014572,0.0487999987672083,-74.62561,-74.62561,2018,10,10
-4.78950937286733e-05,-8.53686893413142e-08,0.203304886817932,0.0547999986156356,-74.62846,-74.62846,2018,10,10
-0.000107510757899236,-9.19246554125541e-08,0.252681851387024,0.252681851387024,-74.65551,-74.65551,2018,10,11
-0.000155170230600893,-7.45429166317943e-08,0.183375328779221,0.183375328779221,-74.65676,-74.65676,2018,10,11
0.000156270761095774,-8.63023216710548e-08,0.713053226470947,0.0873999977920903,-74.69112,-74.69112,2018,10,14
2.79305927828057e-05,-8.12968597454832e-08,0.688908100128174,0.0855999978375621,-74.69354,-74.69354,2018,10,14
3.549190742006e-05,-1.05245597734e-07,0.6726353764534,0.0843999978678767,-74.69215,-74.69215,2018,10,14
-0.000107516417925895,-7.59609336902834e-08,0.62491512298584,0.0805999979638727,-74.69553,-74.69553,2018,10,14
-7.17756100908839e-05,-1.02118465682287e-07,0.649134516716003,0.0825999979133485,-74.69618,-74.69618,2018,10,14
-2.84188656515538e-05,-7.72580874181194e-08,0.701844990253448,0.0865999978123,-74.68721,-74.68721,2018,10,14
-1.21658134484089e-05,-8.48203091609735e-08,0.664018154144287,0.0835999978880864,-74.67831,-74.67831,2018,10,14
9.51049620290517e-05,-5.62657796793792e-10,0.937621653079987,0.937621653079987,-74.64465,-74.64465,2018,10,16
0.000103265470724124,-4.94134131267622e-10,0.629525661468506,0.629525661468506,-74.67403,-74.67403,2018,10,16
6.04651962750733e-05,-1.39945120196425e-09,0.571109890937805,0.571109890937805,-74.67625,-74.67625,2018,10,16
-0.000322754068406632,-2.95907637941423e-09,0.50830352306366,0.0825999979133485,-74.68944,-74.68944,2018,10,17
-1.70177054151776e-08,-3.65059844989824e-09,0.423980712890625,0.0787999980093446,-74.68481,-74.68481,2018,10,17
-1.53307888041203e-08,-7.89853793264642e-09,0.384950906038284,0.0665999983175425,-74.67736,-74.67736,2018,10,19
-1.65877577605671e-08,-7.95326438586012e-09,0.337529391050339,0.0555999985954259,-74.67855,-74.67855,2018,10,19
-1.69674650893583e-08,-5.3793521069421e-09,0.305020719766617,0.0575999985449016,-74.67876,-74.67876,2018,10,19
-0.000255811767113198,-7.78137036264934e-09,0.353772789239883,0.0575999985449016,-74.68207,-74.68207,2018,10,19
-1.76860726981196e-08,-7.40671756668744e-09,0.544353008270264,0.0739999981306028,-74.66801,-74.66801,2018,10,19
-5.54218972562193e-09,-5.54218972562193e-09,0.26571923494339,0.0541999986307928,-74.66477,-74.66477,2018,10,20
-5.61925173031847e-09,-5.61925173031847e-09,0.275118172168732,0.0561999985802686,-74.65791,-74.65791,2018,10,20
-3.6626815399065e-09,-3.6626815399065e-09,0.296268939971924,0.055999998585321,-74.65519,-74.65519,2018,10,20
-8.09020288823257e-09,-4.9923276429731e-09,0.300404697656631,0.0585999985196395,-74.65508,-74.65508,2018,10,20
-0.000251399172947349,-6.67510465433057e-09,0.35700798034668,0.0671999983023852,-74.65576,-74.65576,2018,10,20
-5.04395780797796e-09,-5.04395780797796e-09,0.3503198325634,0.0609999984590104,-74.65334,-74.65334,2018,10,20
-6.13631286882669e-09,-6.13631286882669e-09,0.382097184658051,0.0659999983326998,-74.64959,-74.64959,2018,10,20
-7.97950264005796e-09,-7.97950264005796e-09,0.429578602313995,0.0697999982367037,-74.65567,-74.65567,2018,10,20
-8.10554624947445e-09,-8.10554624947445e-09,0.383410066366196,0.0677999982872279,-74.66111,-74.66111,2018,10,20
0.000201848829721911,-4.98120312136033e-09,0.432484239339828,0.0707999982114416,-74.62516,-74.62516,2018,10,23
-0.000225298247352182,-3.79134931914603e-09,0.386965394020081,0.0677999982872279,-74.62868,-74.62868,2018,10,23
2.97644309406671e-05,-4.1126846554722e-09,0.40861976146698,0.069199998251861,-74.62025,-74.62025,2018,10,23
0.000225163666834409,-4.43177050371538e-09,0.409703940153122,0.0775999980396591,-74.61462,-74.61462,2018,10,23
-0.000599250877037165,-4.30347308682019e-09,0.735397756099701,0.0889999977516709,-74.61028,-74.61028,2018,10,24
-0.00012683062491598,-3.63002385983718e-09,0.432947665452957,0.063999998383224,-74.60321,-74.60321,2018,10,24
-0.000133811360385211,-2.4050338327904e-09,0.40056300163269,0.0607999984640628,-74.5984,-74.5984,2018,10,24
-4.52911649886128e-09,-5.08523155525307e-09,0.454016387462616,0.0659999983326998,-74.58989,-74.58989,2018,10,24
0.000295414301438455,-4.2433580935261e-09,0.590101540088654,0.0777999980346067,-74.58343,-74.58343,2018,10,24
-7.61376005085403e-09,-7.61376005085403e-09,0.316198110580444,0.0721999981760746,-74.55098,-74.55098,2018,10,25
-0.000325888225223383,-2.33295390154811e-09,0.681721389293671,0.0955999975849409,-74.62203,-74.62203,2018,10,29
-2.72655778337713e-09,-2.72655778337713e-09,0.579871952533722,0.0769999980548164,-74.62482,-74.62482,2018,10,29
-3.12389862983637e-09,-3.12389862983637e-09,0.424652457237244,0.0773999980447115,-74.63394,-74.63394,2018,10,29
-4.4508982544186e-09,-4.4508982544186e-09,0.56235659122467,0.0905999977112515,-74.63545,-74.63545,2018,10,29
-2.11249957568002e-08,-9.03096393458136e-09,0.734537959098816,0.0889999977516709,-74.64008,-74.64008,2018,10,30
-6.42562177777553e-09,-6.42562177777553e-09,0.717308461666107,0.0877999977819854,-74.63876,-74.63876,2018,10,30
-5.28623361477624e-09,-5.28623361477624e-09,0.663312494754791,0.0835999978880864,-74.6424,-74.6424,2018,10,30
-3.79166855941351e-09,-3.79166855941351e-09,0.710861325263977,0.0871999977971427,-74.6514,-74.6514,2018,10,30
-4.0262492289729e-09,-4.0262492289729e-09,0.823893129825592,0.0955999975849409,-74.65471,-74.65471,2018,10,30
-7.44392142091578e-09,-7.44392142091578e-09,0.850919783115387,0.0999999974737875,-74.65749,-74.65749,2018,10,30
-1.26615162675641e-08,-3.222528516771e-09,0.994932234287262,0.107399997286848,-74.66193,-74.66193,2018,10,30
-0.000175333889921033,-4.42018027715993e-09,0.740282297134399,0.089399997741566,-74.66197,-74.66197,2018,10,31
-0.000181484127435452,-4.40784427463315e-09,0.70257306098938,0.0925999976607272,-74.66745,-74.66745,2018,10,31
-1.26096996756882e-08,-3.98882419699836e-09,0.726038694381714,0.0883999977668282,-74.66795,-74.66795,2018,10,31
-4.09496927061697e-09,-3.69473927294505e-09,0.729077339172363,0.0885999977617757,-74.67152,-74.67152,2018,10,31
-1.14164987447562e-08,-2.22433907970338e-09,0.925119936466217,0.102599997408106,-74.67274,-74.67274,2018,10,31
-1.2437128437277e-08,-2.677629342288e-09,0.773823916912079,0.0919999976758845,-74.67889,-74.67889,2018,10,31
-1.30003550478993e-08,-2.9586124551734e-09,0.725800752639771,0.0883999977668282,-74.67712,-74.67712,2018,10,31
-1.64209535433371e-08,-5.63261683419038e-09,0.596166729927063,0.0781999980245018,-74.68014,-74.68014,2018,10,31
-1.67247575030009e-08,-4.86128744984413e-09,0.623995542526245,0.623995542526245,-74.68307,-74.68307,2018,11,1
-1.71719635061263e-08,-4.4310517805286e-09,0.599712669849396,0.0871999977971427,-74.68575,-74.68575,2018,11,1
-1.61818674980277e-08,-3.75148024481998e-09,0.750171065330505,0.750171065330505,-74.68284,-74.68284,2018,11,1
0.00029172294827346,-3.24117677509357e-09,0.673805594444275,0.673805594444275,-74.68038,-74.68038,2018,11,1
-0.000307960044444191,-3.43839845271629e-09,0.620969593524933,0.620969593524933,-74.6795,-74.6795,2018,11,1
0.000274294445871758,-7.12478128995369e-09,0.719414055347443,0.719414055347443,-74.6786,-74.6786,2018,11,1
-2.50536430974973e-08,-4.04079788660848e-09,0.473833352327347,0.473833352327347,-74.68622,-74.68622,2018,11,2
-1.91421774433841e-08,-3.50028337030154e-09,0.444398820400238,0.444398820400238,-74.68919,-74.68919,2018,11,2
-0.000616763489546636,-2.49548962090146e-09,0.461886644363403,0.0805999979638727,-74.69514,-74.69514,2018,11,5
-0.000451416713111781,-3.42850389844419e-09,0.458079040050507,0.0787999980093446,-74.6943,-74.6943,2018,11,5
-9.1475633824982e-09,-3.34518099046241e-09,0.494850337505341,0.0821999979234533,-74.69849,-74.69849,2018,11,5
-2.49757987126654e-09,-2.49757987126654e-09,0.46509450674057,0.0773999980447115,-74.68276,-74.68276,2018,11,5
-2.93657097767964e-09,-2.93657097767964e-09,0.451211839914322,0.0763999980699737,-74.6689,-74.6689,2018,11,5
-3.21711579780922e-09,-3.21711579780922e-09,0.448151528835297,0.0747999981103931,-74.66689,-74.66689,2018,11,5
-0.000480212196471333,-3.41881919040445e-09,0.511813938617706,0.0805999979638727,-74.67101,-74.67101,2018,11,5
-3.77775396115278e-09,-3.77775396115278e-09,0.605196237564087,0.0825999979133485,-74.67144,-74.67144,2018,11,5
-3.67795806844901e-09,-3.67795806844901e-09,0.472763031721115,0.0675999982922804,-74.66185,-74.66185,2018,11,8
-4.32386670769667e-09,-4.32386670769667e-09,0.490234434604645,0.069199998251861,-74.66167,-74.66167,2018,11,8
-4.28679709674523e-09,-4.28679709674523e-09,0.560081839561462,0.0753999980952358,-74.65997,-74.65997,2018,11,8
-3.84629428186875e-09,-3.84629428186875e-09,0.535495936870575,0.0731999981508125,-74.66145,-74.66145,2018,11,8
-4.30687765521579e-09,-4.30687765521579e-09,0.505376756191254,0.070599998216494,-74.65689,-74.65689,2018,11,8
-3.15870691540122e-09,-3.15870691540122e-09,0.614705562591553,0.0833999978931388,-74.6547,-74.6547,2018,11,8
-3.21505378880316e-09,-3.21505378880316e-09,0.46538770198822,0.0795999979891349,-74.6503,-74.6503,2018,11,8
-5.81404013139183e-09,-5.81404013139183e-09,0.52783077955246,0.0795999979891349,-74.64576,-74.64576,2018,11,8
-4.69473678546316e-09,-4.69473678546316e-09,0.48228132724762,0.0685999982670182,-74.64752,-74.64752,2018,11,8
0.000382149217732408,-2.82998784167524e-08,0.0918636545538902,0.0341999991360353,-79.67279,-79.67279,2018,11,11
-9.31245041842893e-05,-4.89931556689481e-08,0.0792289152741432,0.0321999991865596,-79.6342,-79.6342,2018,11,11
-0.000137924159555011,-2.33349846858075e-08,0.0919310003519058,0.0271999993128702,-79.59018,-79.59018,2018,11,11
-0.000300294988466187,-3.57625607876735e-08,0.0840978771448135,0.0279999992926605,-79.54752,-79.54752,2018,11,11
-0.000387336261963776,-2.87443386836337e-08,0.0783033072948456,0.0285999992775032,-79.51248,-79.51248,2018,11,11
-0.00053158413107121,-2.33967411770823e-08,0.078868143260479,0.0421999989339383,-79.43941,-79.43941,2018,11,11
-2.3085974806875e-09,-2.48653518243731e-09,0.185691446065903,0.0425999989238335,-74.56361,-74.56361,2018,11,12
-2.12252603724153e-09,-2.12252603724153e-09,0.332585245370865,0.0715999981912319,-74.63649,-74.63649,2018,11,12
